File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\extensions\booster\widgets\TbAlert.php,231,104,65,16,39,1,88,518,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbBadge.php,70,27,18,4,10,0,33,106,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbBaseInputWidget.php,37,17,9,3,8,0,12,37,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbBaseMenu.php,222,127,90,27,36,0,59,251,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbBreadcrumbs.php,78,35,28,4,13,0,30,113,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbBulkActions.php,346,176,109,30,48,6,122,480,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbButton.php,391,208,136,39,70,3,113,375,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbButtonColumn.php,103,48,31,8,16,0,39,157,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbButtonGroup.php,175,81,47,10,29,1,65,220,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbButtonGroupColumn.php,138,68,47,10,20,0,50,201,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbCarousel.php,241,125,93,24,45,0,71,217,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbCKEditor.php,79,31,20,2,11,0,37,122,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbCollapse.php,117,42,32,5,22,0,53,178,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbColorPicker.php,108,32,24,2,16,0,60,213,0,0
